delta_time	protocols	ip_src	ip_dst	port_src	port_dst	frame_len	udp_len	ip_ttl	icmp_type	tos	ip_flags_rb	ip_flags_df	ip_flags_mf	tcp_flags_res	tcp_flags_ns	tcp_flags_cwr	tcp_flags_ecn	tcp_flags_urg	tcp_flags_ack	tcp_flags_push	tcp_flags_reset	tcp_flags_syn	tcp_flags_fin	epoch_time	label	tipo_ataque
0.04667	ARP	192.168.100.150	192.168.100.3			60																		1526344326.389036	1	Reconnaissance_Service_Scan
0.019976	ARP	192.168.100.149	192.168.100.3			60																		1526344328.371531	1	Reconnaissance_Service_Scan
0.029696	ARP	192.168.100.148	192.168.100.3			60																		1526344330.558318	1	Reconnaissance_Service_Scan
0.01289	ARP	192.168.100.147	192.168.100.3			60																		1526344332.611252	1	Reconnaissance_Service_Scan
0.010812	TCP	192.168.100.150	192.168.100.3	36663.0	8080.0	60		45		0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1526344332.972527	1	Reconnaissance_Service_Scan
2e-06	TCP	192.168.100.150	192.168.100.3	36663.0	554.0	60		55		0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1526344332.972529	1	Reconnaissance_Service_Scan
7.4e-05	TCP	192.168.100.150	192.168.100.3	36663.0	80.0	60		54		0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1526344332.972603	1	Reconnaissance_Service_Scan
1e-06	TCP	192.168.100.150	192.168.100.3	36663.0	443.0	60		53		0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1526344332.972604	1	Reconnaissance_Service_Scan
2e-06	TCP	192.168.100.150	192.168.100.3	36663.0	111.0	60		44		0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1526344332.972606	1	Reconnaissance_Service_Scan
1e-06	TCP	192.168.100.150	192.168.100.3	36663.0	143.0	60		54		0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1526344332.972607	1	Reconnaissance_Service_Scan
2e-05	TCP	192.168.100.150	192.168.100.3	36663.0	110.0	60		47		0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1526344332.972627	1	Reconnaissance_Service_Scan
3e-06	TCP	192.168.100.150	192.168.100.3	36663.0	3306.0	60		37		0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1526344332.97263	1	Reconnaissance_Service_Scan
1e-06	TCP	192.168.100.150	192.168.100.3	36663.0	23.0	60		43		0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1526344332.972631	1	Reconnaissance_Service_Scan
3e-06	TCP	192.168.100.150	192.168.100.3	36663.0	199.0	60		49		0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1526344332.972634	1	Reconnaissance_Service_Scan
4.8e-05	TCP	192.168.100.150	192.168.100.3	36663.0	1025.0	60		39		0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1526344332.972931	1	Reconnaissance_Service_Scan
2.1e-05	TCP	192.168.100.150	192.168.100.3	36663.0	139.0	60		59		0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1526344332.972952	1	Reconnaissance_Service_Scan
