delta_time	protocols	ip_src	ip_dst	port_src	port_dst	frame_len	udp_len	ip_ttl	icmp_type	tos	ip_flags_rb	ip_flags_df	ip_flags_mf	tcp_flags_res	tcp_flags_ns	tcp_flags_cwr	tcp_flags_ecn	tcp_flags_urg	tcp_flags_ack	tcp_flags_push	tcp_flags_reset	tcp_flags_syn	tcp_flags_fin	epoch_time	label	tipo_ataque
1e-06	TCP	192.168.100.148	192.168.100.3	40307.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528095725.52241	1	DDoS_TCP
2e-06	TCP	192.168.100.148	192.168.100.3	40310.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528095725.522412	1	DDoS_TCP
1e-06	TCP	192.168.100.148	192.168.100.3	40311.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528095725.522413	1	DDoS_TCP
2e-06	TCP	192.168.100.148	192.168.100.3	40312.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528095725.522415	1	DDoS_TCP
1e-06	TCP	192.168.100.148	192.168.100.3	40313.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528095725.522416	1	DDoS_TCP
2e-06	TCP	192.168.100.148	192.168.100.3	40316.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528095725.522418	1	DDoS_TCP
1e-06	TCP	192.168.100.148	192.168.100.3	40317.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528095725.522419	1	DDoS_TCP
1e-06	TCP	192.168.100.148	192.168.100.3	40322.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528095725.52242	1	DDoS_TCP
1e-06	TCP	192.168.100.148	192.168.100.3	40323.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528095725.522421	1	DDoS_TCP
2e-06	TCP	192.168.100.148	192.168.100.3	40326.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528095725.522423	1	DDoS_TCP
1e-06	TCP	192.168.100.148	192.168.100.3	40212.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528095725.52243	1	DDoS_TCP
1e-06	TCP	192.168.100.148	192.168.100.3	40213.0	80.0	154		64.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1528095725.522431	1	DDoS_TCP
